Number,Arabic,in English
1,كما,as
2,أنا,I
3,له,his
4,أن,that
5,هو,he
6,كان,was
7,إلى,for
8,في,on
9,هي,are
10,مع,with
11,هم,they
12,يكون,be
13,في,at
14,واحد,one
15,ديك,have
16,هذا,this
17,من,from
18,بواسطة,by
19,حار,hot
20,كلمة,word
21,لكن,but
22,ما,what
23,بعض,some
24,هو,is
25,هو,it
26,أنت,you
27,أو,or
28,كان,had
29,و,the
30,من,of
31,إلى,to
32,و,and
33,و,a
34,في,in
35,نحن,we
36,علبة,can
37,خارج,out
38,البعض,other
39,و,were
40,التي,which
41,القيام,do
42,من,their
43,الوقت,time
44,إذا,if
45,سوف,will
46,كيف,how
47,قال,said
48,و,an
49,كل,each
,,
50,أقول,tell
51,لا,does
52,مجموعة,set
53,ثلاثة,three
54,تريد,want
55,هواء,air
56,جيد,well
57,أيضا,also
58,لعب,play
59,صغير,small
60,نهاية,end
61,وضع,put
62,المنزل,home
63,قرأ,read
64,يد,hand
65,ميناء,port
66,كبير,large
67,تهجى,spell
68,إضافة,add
69,حتى,even
70,الأرض,land
71,هنا,here
72,يجب,must
73,كبير,big
74,ارتفاع,high
75,مثل,such
76,تابع,follow
77,فعل,act
78,لماذا,why
79,تطلب,ask
80,الرجال,men
81,تغيير,change
82,ذهب,went
83,ضوء,light
84,نوع,kind
85,بعيدا,off
86,تحتاج,need
87,منزل,house
88,صور,picture
89,محاولة,try
90,لنا,us
91,مرة أخرى,again
92,الحيوان,animal
93,نقطة,point
94,أم,mother
95,العالم,world
96,قرب,near
97,بناء,build
98,النفس,self
99,أرض,earth
,,
100,الأب,father
101,أي,any
102,جديدة,new
103,العمل,work
104,جزء,part
105,أخذ,take
106,الحصول على,get
107,مكان,place
108,مصنوع,made
109,حي,live
110,حيث,where
111,بعد,after
112,ظهر,back
113,القليل,little
114,فقط,only
115,جولة,round
116,رجل,man
117,عام,year
118,جاء,came
119,المعرض,show
120,كل,every
121,جيد,good
122,أنا,me
123,منح,give
124,لدينا,our
125,تحت,under
126,اسم,name
127,جدا,very
128,من خلال,through
129,فقط,just
130,شكل,form
131,عقوبة,sentence
132,عظيم,great
133,اعتقد,think
134,قول,say
135,مساعدة,help
136,منخفض,low
137,خط,line
138,اختلف,differ
139,منعطف,turn
140,السبب,cause
141,كثيرا,much
142,متوسط,mean
143,قبل,before
144,خطوة,move
145,الحق,right
146,صبي,boy
147,قديم,old
148,أيضا,too
149,نفسه,same
150,هي,she
151,كل,all
152,هناك,there
153,عندما,when
154,فوق,up
155,استخدام,use
156,ك,your
157,طريق,way
158,حول,about
159,كثير,many
160,ثم,then
161,هم,them
162,إرسال,write
163,أراد,would
164,مثل,like
165,هكذا,so
166,هؤلاء,these
167,لها,her
168,طويل,long
169,جعل,make
170,شيء,thing
171,شاهد,see
172,له,him
173,اثنين,two
174,لديه,has
175,بحث,look
176,أكثر,more
177,يوم,day
178,يمكن,could
179,تذهب,go
180,جاء,come
181,لم,did
182,عدد,number
183,صوت,sound
184,لا,no
185,أكثر,most
186,الناس,people
187,لي,my
188,على,over
189,تعرف,know
190,ماء,water
191,من,than
192,دعوة,call
193,الأول,first
194,الذي,who
195,قد,may
196,إلى,down
197,الجانب,side
198,كان,been
,,
199,الآن,now
200,اكتشاف,find
201,رئيس,head
202,الوقوف,stand
203,الخاصة,own
204,الصفحة,page
205,ينبغي,should
206,بلد,country
207,أسس,found
208,الجواب,answer
209,المدرسة,school
210,تنمو,grow
211,دراسة,study
212,لا يزال,still
213,تعلم,learn
214,مصنع,plant
215,غطاء,cover
216,غذاء,food
217,شمس,sun
218,أربعة,four
219,بين,between
220,دولة,state
221,احتفظ,keep
222,العين,eye
223,أبدا,never
224,آخر,last
225,سمح,let
226,يعتقد,thought
227,المدينة,city
228,شجرة,tree
229,عبور,cross
230,مزرعة,farm
231,شاق,hard
232,بداية,start
233,قد,might
234,قصة,story
235,منشار,saw
236,الآن,far
237,بحر,sea
238,رسم,draw
239,غادر,left
240,متأخر,late
241,تشغيل,run
242,لا,don’t
243,في حين,while
244,الصحافة,press
245,قريب,close
246,الليل,night
247,حقيقية,real
248,حياة,life
249,قليل,few
250,شمال,north
251,كتاب,book
252,حمل,carry
253,استغرق,took
254,علم,science
255,أكل,eat
256,غرفة,room
257,صديق,friend
258,بدأ,began
259,فكرة,idea
260,سمك,fish
261,الجبل,mountain
262,توقف,stop
263,مرة واحدة,once
264,قاعدة,base
265,سمع,hear
266,الحصان,horse
267,قطع,cut
268,بالتأكيد,sure
269,راقب,watch
270,لون,color
271,وجه,face
272,الخشب,wood
273,رئيسي,main
274,مفتوحة,open
275,يبدو,seem
276,معا,together
277,المقبل,next
278,أبيض,white
279,الأطفال,children
280,بدأ,begin
281,حصلت,got
282,سير,walk
283,مثال,example
284,سهولة,ease
285,ورق,paper
286,مجموعة,group
287,دائما,always
288,الموسيقى,music
289,تلك,those
290,كلا,both
291,علامة,mark
292,غالبا,often
293,الرسالة,letter
294,حتى,until
295,ميل,mile
296,النهر,river
297,سيارة,car
,,
298,قدم,feet
299,الرعاية,care
300,ثان,second
301,بما فيه الكفاية,enough
302,سهل,plain
303,فتاة,girl
304,معتاد,usual
305,الشباب,young
306,جاهزة,ready
307,فوق,above
308,أبدا,ever
309,أحمر,red
310,قائمة,list
311,على الرغم من,though
312,إحساس,feel
313,الحديث,talk
314,طائر,bird
315,قريبا,soon
316,هيئة,body
317,الكلب,dog
318,عائلة,family
319,مباشر,direct
320,أربك,pose
321,ترك,leave
322,أغنية,song
323,قياس,measure
324,باب,door
325,نتاج,product
326,أسود,black
327,قصير,short
328,الأرقام,numeral
329,الفئة,class
330,الرياح,wind
331,السؤال,question
332,يحدث,happen
333,كاملة,complete
334,سفينة,ship
335,منطقة,area
336,نصف,half
337,صخرة,rock
338,النظام,order
339,النار,fire
340,الجنوب,south
341,مشكلة,problem
342,قطعة,piece
343,قال,told
344,عرف,knew
345,تمر,pass
346,منذ,since
347,أعلى,top
348,ككل,whole
349,ملك,king
350,شارع,street
351,بوصة,inch
352,مضاعفة,multiply
353,لا شيء,nothing
354,بالطبع,course
355,إقامة,stay
356,عجلة,wheel
357,كامل,full
358,قوة,force
359,الأزرق,blue
360,موضوع,object
361,تقرر,decide
362,سطح,surface
363,عميق,deep
364,ضوء القمر,moon
365,الجزيرة,island
366,القدم,foot
367,نظام,system
368,مشغول,busy
369,اختبار,test
370,سجل,record
371,قارب,boat
372,مشترك,common
373,الذهب,gold
374,ممكن,possible
375,طائرة,plane
376,بدلا,stead
377,جاف,dry
378,عجب,wonder
379,الضحك,laugh
380,ألف,thousand
381,منذ,ago
382,ركض,ran
383,تحقق,check
384,لعبة,game
385,شكل,shape
386,مساواة,equate
387,حار,hot
388,ملكة جمال,miss
389,جلبت,brought
390,حرارة,heat
391,ثلج,snow
392,إطار العجلة,tire
393,جلب,bring
394,نعم,yes
395,بعيد,distant
396,شغل,fill
,,
397,الشرق,east
398,الطلاء,paint
399,اللغة,language
400,بين,among
401,وحدة,unit
402,قوة,power
403,مدينة,town
404,غرامة,fine
405,معين,certain
406,يطير,fly
407,سقط,fall
408,قيادة,lead
409,صرخة,cry
410,مظلم,dark
411,آلة,machine
412,مذكرة,note
413,انتظر,wait
414,خطة,plan
415,الرقم,figure
416,نجمة,star
417,صندوق,box
418,إسم,noun
419,الحقل,field
420,بقية,rest
421,صحيح,correct
422,قادرة,able
423,الجنيه,pound
424,منجز,done
425,الجمال,beauty
426,محرك,drive
427,وقفت,stood
428,تحتوي على,contain
429,الجبهة,front
430,تعليم,teach
431,أسبوع,week
432,نهائي,final
433,أعطى,gave
434,الأخضر,green
435,يا,oh
436,سريع,quick
437,تطوير,develop
438,المحيط,ocean
439,الحارة,warm
440,حر,free
441,دقيقة,minute
442,قوي,strong
443,خاص,special
444,عقل,mind
,,
445,خلف,behind
446,واضح,clear
447,ذيل,tail
448,إنتاج,produce
449,حقيقة,fact
450,الفضاء,space
451,سمعت,heard
452,أفضل,best
453,ساعة,hour
454,أفضل,better
455,صحيح,TRUE
456,خلال,during
457,مائة,hundred
458,خمسة,five
459,تذكر,remember
460,خطوة,step
461,في وقت مبكر,early
462,عقد,hold
463,غرب,west
464,أرض,ground
465,مصلحة,interest
466,الوصول,reach
467,بسرعة,fast
468,الفعل,verb
469,الغناء,sing
470,استمع,listen
471,ستة,six
472,الجدول,table
473,السفر,travel
474,أقل,less
475,الصباح,morning
476,عشرة,ten
477,بسيطة,simple
478,عدة,several
479,حرف لين,vowel
480,نحو,toward
481,حرب,war
482,وضع,lay
483,ضد,against
484,نمط,pattern
485,بطيئة,slow
486,مركز,center
487,الحب,love
488,شخص,person
489,المال,money
490,خدمة,serve
491,تظهر,appear
492,طريق,road
493,خريطة,map
494,مطر,rain
495,حكم,rule
,,
496,الحكم,govern
497,سحب,pull
498,بارد,cold
499,إشعار,notice
500,صوت,voice
